JOB_DISCIPLINE_NAME,Standard Craft,Craft Grouping
Principal Hookup & Commission Tech,Not used for Std Craft,Not used for Std Craft
Principal Installation Analysis Engineer,Not used for Std Craft,Not used for Std Craft
Principal Pipeline Designer,Not used for Std Craft,Not used for Std Craft
Process Electrician Supervisor,Not used for Std Craft,Not used for Std Craft
Process Electrician Trainee,Not used for Std Craft,Not used for Std Craft
Production Engineer,Not used for Std Craft,Not used for Std Craft
Scaffolding Superintendent,Not used for Std Craft,Not used for Std Craft
Scaffolding Supervisor,Not used for Std Craft,Not used for Std Craft
Senior Commissioning Engineer,Not used for Std Craft,Not used for Std Craft
Senior Commissioning Tech,Not used for Std Craft,Not used for Std Craft
Senior Completions Specialist (Fab),Not used for Std Craft,Not used for Std Craft
Senior Crew Scheduling Administrator,Not used for Std Craft,Not used for Std Craft
Senior Hook Up & Commission Tech,Not used for Std Craft,Not used for Std Craft
Senior Hook Up Engineer,Not used for Std Craft,Not used for Std Craft
Senior Materials Specialist,Not used for Std Craft,Not used for Std Craft
Senior Pipeline Engineer,Not used for Std Craft,Not used for Std Craft
Senior Principal Civil/Struct Designer,Not used for Std Craft,Not used for Std Craft
Senior Principal Commissioning Engineer,Not used for Std Craft,Not used for Std Craft
Senior Principal Hook Up Engineer,Not used for Std Craft,Not used for Std Craft
Senior Principal Materials Administrator,Not used for Std Craft,Not used for Std Craft
Senior Production Engineer,Not used for Std Craft,Not used for Std Craft
Superintendent Construction (Fab),Not used for Std Craft,Not used for Std Craft
Superintendent Piping,Not used for Std Craft,Not used for Std Craft
Welding Engineer,Not used for Std Craft,Not used for Std Craft
Welding Supervisor,Not used for Std Craft,Not used for Std Craft
